UPC,mean,max,min,sum
22000002020,317.7058870967742,973.7,10.17,39395.53
22000002037,339.7112903225806,972.0999999999999,17.75,21062.1
22000002082,286.8946451612903,989.8000000000001,15.43,44468.67
22000006660,323.7022680412371,993.0,15.5,31399.12
22000013194,326.3627472527472,985.1999999999999,12.09,29699.01
22000013200,294.8646540880503,973.8,21.32,46883.48
22000013316,314.03802197802196,975.0,25.46,28577.46
22000013392,319.87548387096774,763.68,30.41,9916.14
22000013439,285.602,955.8,13.98,8568.06
26964726398,256.86514705882354,899.64,12.78,17466.83
30100540861,309.2283870967742,802.89,19.7,9586.08
7441000000000,373.5706451612903,887.9399999999999,51.36,11580.69
