UPC,mean,median,std
22000002020,317.7058870967742,243.66000000000003,229.85082511957566
22000002037,339.7112903225806,260.405,244.12144028770564
22000002082,286.8946451612903,198.75,239.68147638571955
22000006660,323.7022680412371,222.39999999999998,246.1257690757628
22000013194,326.3627472527472,285.92,239.63956216723076
22000013200,294.8646540880503,231.12,227.66540231747905
22000013316,314.03802197802196,277.34,251.90943732584083
22000013392,319.87548387096774,318.55,213.4548188702348
22000013439,285.602,199.31,236.12067045591695
26964726398,256.86514705882354,186.58,211.38724872578914
30100540861,309.2283870967742,297.99,210.27060371652485
7.441E+12,373.5706451612903,333.40000000000003,216.31820320899925
